Electrostatics,Exchange,Induction,SAPT HF,Total HF,Delta HF,Distance
-51.0207922,100.73709199,-28.26939514,21.44690465,0.52706891,-20.91983575,80
-43.18494318,79.34796461,-20.64494697,15.51807446,-2.50794319,-18.02601765,85
-36.43105226,62.28450828,-15.31059946,10.54285655,-4.50601148,-15.04886803,90
-30.70744005,48.74178075,-11.53304996,6.50129074,-5.79026449,-12.29155523,95
-25.91017996,38.04129667,-8.82040732,3.31070939,-6.57258106,-9.88329045,100
-21.91683725,29.61826453,-6.8424189,0.85900837,-6.99685322,-7.85586159,105
-18.60679956,23.011666,-5.37759829,-0.97273184,-7.16408918,-6.19135734,110
-11.72393741,10.67580229,-2.78299563,-3.83113075,-6.76543243,-2.93430167,125
-6.09381334,2.88827747,-1.07330727,-4.27884313,-5.08563107,-0.80678794,150
-2.3632182,0.19853954,-0.22015735,-2.38483601,-2.44732976,-0.06249375,200
