Electrostatics,Exchange,Induction,SAPT(DFT) Exch-Ind(S^Inf),SAPT(DFT) Exch-Ind(S^2),Delta HF,SAPT0 Exch-Ind(S^Inf),SAPT0 Exch-Ind(S^2),Dispersion,Total SAPT(DFT),Distance
-49.74252428,101.38322012,-50.63037484,56.883816841363206,44.58597815,-22.1922143,51.4206091902555,39.90787493,-14.74405497,-13.73373397,80
-41.75648082,80.33608188,-39.56738406,42.1200527260032,34.4389318,-19.16570544,37.815394505015405,30.6874738,-12.27210827,-13.25989127,85
-34.9541846,63.48760958,-30.89036616,31.231454050383604,26.46059352,-16.03242376,27.8406197543448,23.45477737,-10.36450784,-12.72144903,90
-29.24139455,50.05374632,-24.10861739,23.185053479760903,20.23594905,-13.11816939,20.5173254439192,17.83373434,-8.83532637,-12.13159199,95
-24.48941941,39.38059001,-18.8273289,17.228514127043702,15.41339501,-10.56473222,15.135972255444301,13.50184059,-7.51779586,-11.45395416,100
-20.56030311,30.92688346,-14.72233475,12.814244799868199,11.70137047,-8.40895764,11.177129957354401,10.1863078,-6.32137872,-10.67713312,105
-17.32353483,24.25054242,-11.53194299,9.5414764789539,8.86119246,-6.63438247,8.262424816335301,7.66384866,-5.37357677,-9.97851216,110
-10.66249519,11.58579606,-5.62168693,3.9466597687491003,3.7941429,-3.14822659,3.3593542465977,3.22960623,-3.25920692,-7.95759298,125
-5.33971005,3.30404817,-1.8007268,0.922871364129,0.9106712,-0.85920723,0.7657259989353,0.75593922,-1.5130664,-5.34945508,150
-1.98370366,0.25124083,-0.24718391,0.0540046463931,0.05393088,-0.06175539,0.042273208890900006,0.04222094,-0.32819869,-2.30784543,200
