
Host: cmpsrv002

Timers On : Thu Sep 26 15:15:51 2024
Timers Off: Thu Sep 26 15:17:37 2024

Wall Time:      105.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAPT: Dimer SCF                     :     18.950u      2.333s      3.514w      1 calls
Libint2ERI::Libint2ERI              :      9.250u      1.083s      2.915w     36 calls
JK: (A|mn)                          :      1.450u      0.550s      0.300w      1 calls
JK: (A|Q)^-1/2                      :      0.467u      0.017s      0.072w      1 calls
JK: (Q|mn)                          :      1.433u      0.200s      0.248w      1 calls
HF: Form core H                     :      0.167u      0.000s      0.024w      3 calls
HF: Form S/X                        :      0.367u      0.017s      0.059w      3 calls
HF: Guess                           :      3.233u      0.750s      0.591w      3 calls
SAD Guess                           :      3.183u      0.750s      0.588w      3 calls
HF: Form G                          :     21.950u      0.217s      3.323w     31 calls
JK: D                               :      0.000u      0.000s      0.005w     31 calls
JK: USO2AO                          :      0.033u      0.000s      0.000w     31 calls
JK: JK                              :     21.833u      0.183s      3.310w     31 calls
JK: J                               :      4.700u      0.117s      0.714w     31 calls
JK: J1                              :      2.400u      0.017s      0.356w     31 calls
JK: J2                              :      2.217u      0.100s      0.347w     31 calls
JK: K                               :     16.617u      0.033s      2.522w     31 calls
JK: K1                              :     14.717u      0.033s      2.230w     31 calls
JK: K2                              :      1.900u      0.000s      0.291w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.004w     31 calls
HF: Form D                          :      0.050u      0.000s      0.007w     31 calls
HF: DIIS                            :      2.233u      0.217s      0.368w     28 calls
HF: Form C                          :      3.367u      0.117s      0.529w     28 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w      3 calls
DFMP2 Aia                           :     12.800u      1.967s      3.144w      3 calls
DFMP2 (A|mn)                        :      6.217u      0.000s      0.934w      3 calls
DFMP2 (A|mn)C_mi                    :      0.850u      0.000s      0.128w      3 calls
DFMP2 (A|mi)C_na                    :      0.317u      0.000s      0.051w      3 calls
DFMP2 Aia Write                     :      0.217u      0.100s      0.042w      3 calls
DFMP2 Bia                           :      1.100u      0.117s      0.187w      3 calls
DFMP2 Metric                        :      0.550u      0.033s      0.086w      3 calls
DFMP2 Aia Read                      :      0.033u      0.000s      0.007w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.267u      0.000s      0.044w      3 calls
DFMP2 Bia Write                     :      0.200u      0.083s      0.042w      3 calls
DFMP2 Energy                        :      0.983u      0.083s      0.154w      3 calls
DFMP2 Bia Read                      :      0.067u      0.017s      0.008w      6 calls
SAPT: Monomer A SCF                 :     12.467u      0.900s      2.305w      1 calls
SAPT: Monomer B SCF                 :     11.317u      0.717s      2.111w      1 calls
DF Integrals                        :     64.217u     11.650s     14.471w      1 calls
Omega Integrals                     :      0.167u      0.950s      0.670w      1 calls
Amplitudes                          :     82.400u      8.567s     14.677w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.017u      0.000s      0.006w      1 calls
Exch10                              :      0.017u      0.017s      0.003w      1 calls
Ind20,r                             :      5.533u      0.483s      0.907w      1 calls
Exch-Ind20,r                        :      0.217u      0.017s      0.034w      1 calls
Disp20                              :      0.500u      0.100s      0.091w      1 calls
Exch-Disp20                         :      3.450u      0.183s      0.545w      1 calls
Elst12                              :      0.000u      0.000s      0.000w      1 calls
Exch11                              :      0.150u      0.000s      0.020w      1 calls
Exch12                              :     54.433u      4.983s      9.552w      1 calls
Ind22                               :     10.750u      3.450s      2.860w      1 calls
Disp21                              :      0.233u      0.100s      0.070w      1 calls
Disp22 (SDQ)                        :     13.917u      2.033s      2.516w      1 calls
Disp22 (T)                          :    306.100u      6.900s     46.952w      1 calls

--------------------------------------------------------------------------------------
SAPT: Dimer SCF                     :     18.950u      2.333s      3.514w      1 calls
| Libint2ERI::Libint2ERI            :      0.950u      0.117s      0.334w      2 calls
| JK: (A|mn)                        :      1.450u      0.550s      0.300w      1 calls
| JK: (A|Q)^-1/2                    :      0.467u      0.017s      0.072w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JK: (Q|mn)                        :      1.433u      0.200s      0.248w      1 calls
| HF: Form core H                   :      0.067u      0.000s      0.008w      1 calls
| HF: Form S/X                      :      0.100u      0.017s      0.020w      1 calls
| HF: Guess                         :      1.617u      0.433s      0.303w      1 calls
| | SAD Guess                       :      1.583u      0.433s      0.302w      1 calls
| HF: Form G                        :      8.350u      0.133s      1.267w     11 calls
| | JK: D                           :      0.000u      0.000s      0.002w     11 calls
| | JK: USO2AO                      :      0.017u      0.000s      0.000w     11 calls
| | JK: JK                          :      8.283u      0.133s      1.262w     11 calls
| | | JK: J                         :      1.567u      0.067s      0.240w     11 calls
| | | | JK: J1                      :      0.833u      0.017s      0.121w     11 calls
| | | | JK: J2                      :      0.700u      0.050s      0.116w     11 calls
| | | JK: K                         :      6.467u      0.033s      0.986w     11 calls
| | | | JK: K1                      :      5.483u      0.033s      0.836w     11 calls
| | | | JK: K2                      :      0.983u      0.000s      0.150w     11 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     11 calls
| HF: Form F                        :      0.000u      0.000s      0.002w     11 calls
| HF: Form D                        :      0.017u      0.000s      0.003w     11 calls
| HF: DIIS                          :      1.067u      0.083s      0.172w     10 calls
| HF: Form C                        :      1.183u      0.050s      0.189w     10 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w      3 calls
DFMP2 Aia                           :     12.800u      1.967s      3.144w      3 calls
| Libint2ERI::Libint2ERI            :      4.333u      0.517s      1.141w     12 calls
| DFMP2 (A|mn)                      :      6.217u      0.000s      0.934w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.850u      0.000s      0.128w      3 calls
| DFMP2 (A|mi)C_na                  :      0.317u      0.000s      0.051w      3 calls
| DFMP2 Aia Write                   :      0.217u      0.100s      0.042w      3 calls
DFMP2 Bia                           :      1.100u      0.117s      0.187w      3 calls
| DFMP2 Metric                      :      0.550u      0.033s      0.086w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.000w      4 calls
| DFMP2 Aia Read                    :      0.033u      0.000s      0.007w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.267u      0.000s      0.044w      3 calls
| DFMP2 Bia Write                   :      0.200u      0.083s      0.042w      3 calls
DFMP2 Energy                        :      0.983u      0.083s      0.154w      3 calls
| DFMP2 Bia Read                    :      0.067u      0.017s      0.008w      6 calls
SAPT: Monomer A SCF                 :     12.467u      0.900s      2.305w      1 calls
| Libint2ERI::Libint2ERI            :      0.950u      0.100s      0.314w      2 calls
| HF: Form core H                   :      0.050u      0.000s      0.008w      1 calls
| HF: Form S/X                      :      0.133u      0.000s      0.020w      1 calls
| HF: Guess                         :      1.133u      0.283s      0.211w      1 calls
| | SAD Guess                       :      1.117u      0.283s      0.210w      1 calls
| HF: Form G                        :      6.983u      0.017s      1.056w     10 calls
| | JK: D                           :      0.000u      0.000s      0.002w     10 calls
| | JK: USO2AO                      :      0.017u      0.000s      0.000w     10 calls
| | JK: JK                          :      6.967u      0.017s      1.051w     10 calls
| | | JK: J                         :      1.533u      0.017s      0.231w     10 calls
| | | | JK: J1                      :      0.750u      0.000s      0.115w     10 calls
| | | | JK: J2                      :      0.750u      0.017s      0.112w     10 calls
| | | JK: K                         :      5.300u      0.000s      0.797w     10 calls
| | | | JK: K1                      :      4.683u      0.000s      0.708w     10 calls
| | | | JK: K2                      :      0.617u      0.000s      0.089w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.001w     10 calls
| HF: Form D                        :      0.017u      0.000s      0.002w     10 calls
| HF: DIIS                          :      0.650u      0.033s      0.101w      9 calls
| HF: Form C                        :      1.083u      0.050s      0.170w      9 calls
SAPT: Monomer B SCF                 :     11.317u      0.717s      2.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.983u      0.100s      0.314w      2 calls
| HF: Form core H                   :      0.050u      0.000s      0.008w      1 calls
| HF: Form S/X                      :      0.133u      0.000s      0.020w      1 calls
| HF: Guess                         :      0.483u      0.033s      0.077w      1 calls
| | SAD Guess                       :      0.483u      0.033s      0.076w      1 calls
| HF: Form G                        :      6.617u      0.067s      1.000w     10 calls
| | JK: D                           :      0.000u      0.000s      0.002w     10 calls
| | JK: USO2AO                      :      0.000u      0.000s      0.000w     10 calls
| | JK: JK                          :      6.583u      0.033s      0.996w     10 calls
| | | JK: J                         :      1.600u      0.033s      0.242w     10 calls
| | | | JK: J1                      :      0.817u      0.000s      0.120w     10 calls
| | | | JK: J2                      :      0.767u      0.033s      0.119w     10 calls
| | | JK: K                         :      4.850u      0.000s      0.739w     10 calls
| | | | JK: K1                      :      4.550u      0.000s      0.686w     10 calls
| | | | JK: K2                      :      0.300u      0.000s      0.052w     10 calls
| | JK: AO2USO                      :      0.000u      0.000s      0.000w     10 calls
| HF: Form F                        :      0.000u      0.000s      0.001w     10 calls
| HF: Form D                        :      0.017u      0.000s      0.002w     10 calls
| HF: DIIS                          :      0.517u      0.100s      0.095w      9 calls
| HF: Form C                        :      1.100u      0.017s      0.169w      9 calls
DF Integrals                        :     64.217u     11.650s     14.471w      1 calls
